Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
pimozida,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,pimozida
pindolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,pindolol
pioglitazona,B3,,Sistema endocrino,agentes hipoglucemiantes,,pioglitazona
pipecuronio,do,No se han demostrado efectos adversos en el feto ni en el recién nacido.,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,pipecuronio
piperacilina,B1,,Antimicrobianos,Antibióticos,penicilinas,piperacilina
piperacilina con tazobactam,B1,,Antimicrobianos,Antibióticos,penicilinas,piperacilina con tazobactam
sulfato de piperazina estrona (estropipato),B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,sulfato de piperazina estrona (estropipato)
butóxido de piperonilo,B3,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,,butoxido de piperonilo
pirfenidona,B3,,Sistema respiratorio,,,pirfenidona
piroxicam,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,piroxicam
pitavastatina,D," El colesterol y otros productos de la vía de biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis...",Sistema cardiovascular,Agentes hipolipidémicos,,pitavastatina
pizotifeno,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,,pizotifeno
 plerixafor,D,Este medicamento ha sido teratogénico en animales.,Sangre y sistema hematopoyético, Agentes hematopoyéticos,, plerixafor
plitidepsina,D,Este medicamento es letal para el embrión en animales preñados.,Agentes antineoplásicos,,,plitidepsina
"vacuna antineumocócica, polisacáridos capsulares",B2,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos,"vacuna antineumococica, polisacaridos capsulares"
vacuna antineumocócica conjugada de polisacáridos,B1,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos,vacuna antineumococica conjugada de polisacaridos
podofilotoxina,D,,Medicamentos utilizados en Dermatología,Actual,Agente antimitótico,podofilotoxina
polatuzumab vedotina,D,"Según su mecanismo de acción y los hallazgos en animales, polatuzumab vedotin puede causar daño fetal. Se observó letalidad embriofetal y toxicidad en ratas con exposiciones inferiores a las esperadas en pacientes que recibieron polatuzumab vedotin. Los hallazgos en animales incluyeron un aumento en la incidencia de pérdida posimplantación y un aumento en la incidencia de malformaciones fetales, como protrusión lingual, malrotación de las extremidades posteriores, gastrosquisis y agnatia. Se debe recomendar a las mujeres en edad fértil que utilicen métodos anticonceptivos eficaces durante el tratamiento y durante al menos 9 meses después de la última dosis.",Agentes antineoplásicos,,,polatuzumab vedotina
vacuna contra la poliomielitis (inyección),B2,,Vacunas,Vacunas inactivadas,,vacuna contra la poliomielitis (inyeccion)
vacuna contra la poliomielitis (oral),A,"Las vacunas de virus vivos disponibles actualmente no han causado efectos teratogénicos en humanos. Para obtener información más completa, consulte la publicación de ATAGI, «The Australian Immunisation Handbook».",Vacunas,Vacunas vivas atenuadas,,vacuna contra la poliomielitis (oral)
pomalidomida,incógnita,Este medicamento puede causar daño fetal en humanos. No debe administrarse a mujeres embarazadas ni a mujeres en edad fértil que no utilicen métodos anticonceptivos eficaces durante el tratamiento con este medicamento ni durante un período posterior. Debe descartarse el embarazo antes de iniciar el tratamiento con este medicamento.,Alergia y sistema inmunológico,Inmunomodificadores,,pomalidomida
ponatinib (como hidrocloruro),D,"Este medicamento es embriotóxico, teratogénico y causó embrioletalidad en animales preñados.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,ponatinib (como hidrocloruro)
ponesimod,D,"Basándose en su mecanismo de acción y en datos obtenidos en animales (en ratas y conejas preñadas, ponesimod indujo letalidad embriofetal y teratogenicidad cuando se administró durante el período de organogénesis), ponesimod puede causar daño fetal cuando se administra a una mujer embarazada.",Alergia y sistema inmunológico,Inmunomodificadores,,ponesimod
 posaconazol,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),, posaconazol
toxina prabotulinum A,B3,,Sistema musculoesquelético,relajantes musculares,,toxina prabotulinum A
pralatrexato,D,"Los agentes citotóxicos pueden producir aborto espontáneo, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,pralatrexato
pralsetinib,D, El medicamento pralsetinib es teratogénico y causó embrioletalidad en animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,pralsetinib
pramipexol,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,pramipexol
prasterona,D,,Sistema genitourinario,,,prasterona
prasugrel,B1,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,prasugrel
pravastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,pravastatina
praziquantel,B1,,Antimicrobianos,Antihelmínticos,,praziquantel
prazosina,B2,,Sistema cardiovascular,Antihipertensivos,,prazosina
prednisolona,A,,Sistema endocrino,Corticosteroides,Sistémico,prednisolona
prednisona,A,,Sistema endocrino,Corticosteroides,Sistémico,prednisona
pregabalina,D,"Los datos de un estudio observacional nórdico de más de 2700 embarazos expuestos a pregabalina en el primer trimestre mostraron una mayor prevalencia de malformaciones congénitas mayores (MCM) entre la población pediátrica (vivos o nacidos muertos) expuesta a pregabalina en comparación con la población no expuesta (5,9% frente a 4,1%). El riesgo de MCM entre la población pediátrica expuesta a pregabalina en el primer trimestre fue ligeramente mayor en comparación con la población no expuesta. Los análisis de malformaciones específicas mostraron mayores riesgos de malformaciones del sistema nervioso, el ojo, hendiduras orofaciales, malformaciones urinarias y malformaciones genitales, pero las cifras fueron pequeñas y las estimaciones imprecisas. No se debe utilizar pregabalina durante el embarazo a menos que sea claramente necesario (si el beneficio para la madre supera claramente el riesgo potencial para el feto).",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,pregabalina
prilocaína (con o sin felipresina),A,,Medicamentos utilizados en anestesia,Anestésicos locales,,prilocaina (con o sin felipresina)
fosfato de primaquina,D,"Evite su uso en el tercer trimestre, ya que la primaquina puede causar hemólisis neonatal y metahemoglobinemia. El uso de este fármaco en el tratamiento de la malaria se acepta porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.",Antimicrobianos,Antipalúdicos,,fosfato de primaquina
primidona,D,"Consulte los textos relevantes en la Información del producto de antiepilépticos individuales para obtener más información sobre la idoneidad para su uso en el embarazo. La terapia con primidona en mujeres embarazadas con epilepsia presenta un riesgo para el feto debido a los defectos congénitos mayores y menores, incluyendo defectos craneofaciales y cardíacos congénitos, anomalías digitales y, con menos frecuencia, labio y paladar hendido asociados con los metabolitos de fenobarbital producidos a partir de la primidona. La hemorragia al nacer y la adicción también son un riesgo. Se recomienda el tratamiento profiláctico con vitamina K1 para la madre antes del parto (así como para el neonato) y el neonato debe ser monitoreado para detectar signos de sangrado. Se recomienda que: • Las mujeres que toman medicamentos antiepilépticos (AED) reciban asesoramiento previo al embarazo con respecto al riesgo de malformaciones congénitas y resultados adversos del desarrollo; • Los AED deben continuarse durante el embarazo a la dosis efectiva más baja y debe usarse monoterapia si corresponde; • Se debe analizar la suplementación adecuada de ácido fólico como parte del asesoramiento previo al embarazo y durante el embarazo; • Se debe considerar el diagnóstico prenatal especializado, incluida una ecografía detallada a mitad del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,primidona
probenecid,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,,probenecid
probucol,B1,,Sistema cardiovascular,Agentes hipolipidémicos,,probucol
procainamida,B2,,Sistema cardiovascular,Antiarrítmicos,,procainamida
bencilpenicilina procaína,A,,Antimicrobianos,Antibióticos,penicilinas,bencilpenicilina procaina
clorhidrato de procaína,B2,,Medicamentos utilizados en anestesia,Anestésicos locales,,clorhidrato de procaina
penicilina procaína (bencilpenicilina procaína),A,,Antimicrobianos,Antibióticos,penicilinas,penicilina procaina (bencilpenicilina procaina)
procarbazina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,procarbazina
proclorperazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Sistema nervioso central,"Antieméticos, antinauseosos",fenotiazinas,proclorperazina
prociclidina,A,,Sistema nervioso central,Agentes antiparkinsonianos,,prociclidina
progesterona,A,,Sistema endocrino,Progestágenos (ver también anticonceptivos orales),,progesterona
anticonceptivos que solo usan progestágeno,B3,La evidencia acumulada indica que la exposición inadvertida a estos agentes durante el embarazo temprano no se ha asociado con un mayor riesgo de defectos de nacimiento.,Agentes anticonceptivos,Anticonceptivos orales,,anticonceptivos que solo usan progestageno
proguanil,B2,"Si se administra durante el embarazo, se debe administrar un suplemento de ácido fólico. El proguanil se ha utilizado ampliamente sin efectos adversos en el embarazo. El uso de este fármaco en el tratamiento de la malaria se acepta porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.",Antimicrobianos,Antipalúdicos,,proguanil
promazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,fenotiazinas,promazina
prometazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Alergia y sistema inmunológico,Antihistamínicos,,prometazina
prometazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Sistema nervioso central,"Antieméticos, antinauseosos",fenotiazinas,prometazina
propantelina,B2,,Sistema alimentario,Antiespasmódicos,,propantelina
propantelina,B2,,Agentes colinérgicos y anticolinérgicos,,,propantelina
propofol,do,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,,propofol
propranolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,propranolol
propiltiouracilo,D, Los agentes antitiroideos pueden causar bocio congénito al inhibir la síntesis de tiroxina en el feto.,Sistema endocrino,agentes antitiroideos,,propiltiouracilo
protamina,B2,,Sistema cardiovascular,Agentes hemostáticos,,protamina
proteína c (humana),B2,,Sistema cardiovascular,Agentes hemostáticos,,proteina c (humana)
protriptilina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,protriptilina
proxymetacaína,B2,,Medicamentos oftálmicos,,,proxymetacaina
prucaloprida,B1,,Sistema alimentario,Laxantes,,prucaloprida
pseudoefedrina,B2,,Sistema cardiovascular,estimulantes adrenérgicos,,pseudoefedrina
pseudoefedrina,B2,,Sistema respiratorio,Descongestionantes,,pseudoefedrina
embonato de pirantel,B2,,Antimicrobianos,Antihelmínticos,,embonato de pirantel
pirazinamida,B2,,Antimicrobianos,Antituberculosos y antilepróticos,,pirazinamida
piretrinas,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,,piretrinas
piridostigmina,do,El requerimiento materno de este fármaco en el contexto de la miastenia gravis puede ser absoluto. Los efectos colinérgicos en el neonato son poco frecuentes.,Medicamentos utilizados en la miastenia grave,,,piridostigmina
pirimetamina,B3,"Este medicamento puede interferir con el metabolismo del ácido fólico, y experimentos con animales han demostrado que la administración de dosis muy altas de pirimetamina durante el desarrollo de órganos puede provocar defectos congénitos típicos del antagonismo del ácido fólico. Si se administra pirimetamina durante el embarazo, se debe administrar un suplemento de ácido fólico. El uso de este medicamento en el tratamiento de la malaria se acepta porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.",Antimicrobianos,Antipalúdicos,,pirimetamina
vacuna contra la fiebre Q,B2,,Vacunas,Vacunas inactivadas,,vacuna contra la fiebre Q
quetiapina,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,quetiapina
quinagolida,B3,,Sistema endocrino,Inhibidores de la hipófisis,,quinagolida
quinapril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA),quinapril
quinetazona,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa",quinetazona
quinidina,do,"Este fármaco es estructuralmente similar a la quinina, que, en dosis altas, ha demostrado causar daño fetal. Se ha utilizado para tratar la arritmia cardíaca fetal.",Sistema cardiovascular,Antiarrítmicos,,quinidina
quinina,D,"En dosis estándar, la quinina no se ha asociado con daño fetal. En dosis tóxicas, causa daño fetal, incluyendo sordera. Su capacidad para inducir contracciones uterinas también constituye un riesgo de aborto.",Sistema musculoesquelético,relajantes musculares,,quinina
quinina (tratamiento),D,"En dosis tóxicas, la quinina causa daño fetal, incluida la sordera. Su capacidad para inducir contracciones uterinas también constituye un riesgo de aborto.",Antimicrobianos,Antipalúdicos,,quinina (tratamiento)
rabeprazol,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,rabeprazol
 vacuna contra la rabia (inactivada),B2,,Vacunas,Vacunas inactivadas,, vacuna contra la rabia (inactivada)
dicloruro de radio (223Ra),incógnita,La teratogenicidad es un efecto de clase de los agentes radiactivos que induce múltiples anomalías fetales. Es probable que los fármacos radiactivos causen defectos congénitos importantes si se utilizan durante el embarazo.,Agentes antineoplásicos,,,dicloruro de radio (223Ra)
raloxifeno,incógnita,Este medicamento provoca anomalías en el sistema reproductivo en desarrollo cuando se administra a conejas preñadas y puede tener un efecto similar en el embarazo humano.,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,,raloxifeno
 raltegravir (400 mg dos veces al día),A,,Antimicrobianos,agentes antivirales,, raltegravir (400 mg dos veces al dia)
raltegravir (excepto 400 mg dos veces al día),B3,,Antimicrobianos,agentes antivirales,,raltegravir (excepto 400 mg dos veces al dia)
raltitrexed,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,raltitrexed
ramipril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA),ramipril
ramucirumab (rmc),D,"Se sabe que los anticuerpos IgG atraviesan la barrera placentaria, y este fármaco puede inhibir la angiogénesis fetal. Se ha demostrado que la angiogénesis es crucial para el desarrollo fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,ramucirumab (rmc)
ranibizumab,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. El ranibizumab inhibe la angiogénesis y puede causar daño fetal cuando se administra a mujeres embarazadas.,Medicamentos oftálmicos,,,ranibizumab
ranitidina,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,ranitidina
rasagilina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,rasagilina
rasburicasa,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,,rasburicasa
ravulizumab,B2,,Sangre y sistema hematopoyético,,,ravulizumab
reboxetina,B1,,Sistema nervioso central,antidepresivos,,reboxetina
Vacuna de proteína F prefusión del virus respiratorio sincitial recombinante - adyuvada con AS01,B2,,Vacunas,,,Vacuna de proteina F prefusion del virus respiratorio sincitial recombinante - adyuvada con AS01
 Vacuna recombinante de proteína F prefusión del virus respiratorio sincitial - vacuna sin adyuvante,A,,Vacunas,,, Vacuna recombinante de proteina F prefusion del virus respiratorio sincitial - vacuna sin adyuvante
regdanvimab,B2,,Antimicrobianos,agentes antivirales,anticuerpos monoclonales antivirales,regdanvimab
regorafenib,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres embarazadas.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,regorafenib
toxina relabotulinum A,B3,,Sistema musculoesquelético,relajantes musculares,,toxina relabotulinum A
remdesivir,B2,,Antimicrobianos,agentes antivirales,,remdesivir
remifentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,remifentanilo
repaglinida,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,,repaglinida
reteplasa,do,,Sistema cardiovascular,agentes fibrinolíticos,,reteplasa
retigabina,B3,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,retigabina
ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,ribavirina
ribociclib,D,"Los agentes antineoplásicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,ribociclib
rifabutina,do,"Se han reportado hemorragias atribuibles a hipoprotrombinemia en recién nacidos y madres tras el uso de rifampicina al final del embarazo. Si se utiliza rifabutina durante las últimas semanas del embarazo, se debe administrar vitamina K a la madre y al recién nacido.",Antimicrobianos,Antituberculosos y antilepróticos,,rifabutina
rifampicina,do,"Se han reportado hemorragias atribuibles a hipoprotrombinemia en recién nacidos y madres tras el uso de rifampicina al final del embarazo. Si se utiliza rifampicina durante las últimas semanas del embarazo, se debe administrar vitamina K a la madre y al recién nacido.",Antimicrobianos,Antituberculosos y antilepróticos,,rifampicina
rifaximina,B1,,Antimicrobianos,Antibióticos,,rifaximina
rilpivirina,B1,,Antimicrobianos,agentes antivirales,,rilpivirina
riluzol,B3,,Sistema nervioso central,,,riluzol
 rimegepante,B1,,Sistema nervioso central,,, rimegepante
rimiterol,A,,Sistema cardiovascular,estimulantes adrenérgicos,,rimiterol
rimiterol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,rimiterol
riociguat,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antihipertensivos,,riociguat
ripretinib,D,"Según su mecanismo de acción y los hallazgos en estudios con animales, ripretinib puede causar malformaciones fetales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,ripretinib
risankizumab,B1,,Alergia y sistema inmunológico,,,risankizumab
risdiplam,D,"La administración a animales preñados provocó una disminución del peso corporal fetal, un aumento de la incidencia de variaciones estructurales fetales, mortalidad embriofetal, malformaciones fetales (hidrocefalia) y variaciones estructurales. El nivel sin efectos adversos en el desarrollo embriofetal se asoció con una exposición materna tres veces superior a la dosis máxima recomendada en humanos. En un estudio prenatal y posnatal en ratas tratadas diariamente con risdiplam, este provocó un ligero retraso en la duración de la gestación.",Sistema musculoesquelético,,,risdiplam
risedronato,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,Bifosfonatos,risedronato
risperidona,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,risperidona
ritonavir,B3,,Antimicrobianos,agentes antivirales,,ritonavir
rituximab,do,Se sabe que los anticuerpos de esta clase atraviesan la barrera fetoplacentaria y pueden causar agotamiento de células B y/u otros efectos desconocidos.,Alergia y sistema inmunológico,Inmunomodificadores,,rituximab
rivaroxabán,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,rivaroxaban
rivastigmina,B2,,Agentes colinérgicos y anticolinérgicos,,,rivastigmina
rizatriptán,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,,rizatriptan
rocuronio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,rocuronio
rofecoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,rofecoxib
 romidepsina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,, romidepsina
romiplostim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,romiplostim
romosozumab,B3,,Sistema musculoesquelético,Agentes osteogénicos,,romosozumab
ropinirol,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,ropinirol
ropivacaína,B1,,Medicamentos utilizados en anestesia,Anestésicos locales,,ropivacaina
rosiglitazona,B3,,Sistema endocrino,agentes hipoglucemiantes,,rosiglitazona
rosiglitazona/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,,rosiglitazona/metformina
rosuvastatina,D,"La hiperlipidemia fisiológica del embarazo no requiere tratamiento. El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada.",Sistema cardiovascular,Agentes hipolipidémicos,,rosuvastatina
rosuvastatina/ezetimiba,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,rosuvastatina/ezetimiba
vacuna contra el rotavirus,B2,"Las vacunas de virus vivos disponibles actualmente no han causado efectos teratogénicos en humanos. Para obtener información más completa, consulte la publicación de ATAGI, «The Australian Immunisation Handbook».",Vacunas,Vacunas vivas atenuadas,,vacuna contra el rotavirus
rotigotina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,rotigotina
roxitromicina,B1,,Antimicrobianos,Antibióticos,antibióticos macrólidos,roxitromicina
rufinamida,B3,,Sistema nervioso central,Anticonvulsivos/antiepilépticos,,rufinamida
rurioctocog alfa pegol,B2,,Sistema cardiovascular,Agentes hemostáticos,,rurioctocog alfa pegol
fosfato de ruxolitinib,do,,Agentes antineoplásicos,,,fosfato de ruxolitinib
sacituzumab govitecán,D,"Basándose en su mecanismo de acción, sacituzumab govitecan puede causar teratogenicidad y/o letalidad embriofetal cuando se administra a una persona embarazada.",Agentes antineoplásicos,anticuerpos monoclonales,,sacituzumab govitecan
safinamida (como mesilato),B3,,,,,safinamida (como mesilato)
salbutamol,A,,Sistema cardiovascular,estimulantes adrenérgicos,,salbutamol
salbutamol,A,,Sistema genitourinario,Agentes que actúan sobre el útero,,salbutamol
salbutamol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,salbutamol
